title,link,square_meters,rooms,price,date,district
TAPUSU HAZIR EN GÜZEL KAT,https://www.sahibinden.com/ilan/emlak-konut-satilik-tapusu-hazir-en-guzel-kat-1147699519/detay,60,1+1,675000,14 Ocak 2024,Yeşilyurt
MALATYANIN EN GÖZDE YERİ TECDEDE SATILIK DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-malatyanin-en-gozde-yeri-tecdede-satilik-daireler-1107296680/detay,190,3+1,3650000,12 Ocak 2024,YeşilyurtMerkez
MAHMUT BALTACIDAN YAKINCADA LÜX DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-yakincada-lux-daireler-1106385313/detay,210,3+1,3750000,12 Ocak 2024,YeşilyurtKöyler
MAHMUT BALTACIDAN GÜNGÖR CADDESİNDE MEGA LÜX DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-gungor-caddesinde-mega-lux-daireler-1118277752/detay,235,4+1,5000000,12 Ocak 2024,YeşilyurtMerkez
NİKÂH SARAYI KARŞISINDA 6 KATLI BİNADA SATILIK LÜX DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-nikah-sarayi-karsisinda-6-katli-binada-satilik-lux-daire-1124271269/detay,250,4+1,3200000,12 Ocak 2024,YeşilyurtMerkez
RW CADDEDEN ZAFER MH GENİŞ 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-rw-caddeden-zafer-mh-genis-3-plus1-daire-1147332439/detay,180,3+1,1680000,12 Ocak 2024,BattalgaziMerkez
SATILIK 1+1 TOKİDE,https://www.sahibinden.com/ilan/emlak-konut-satilik-satilik-1-plus1-tokide-1147332082/detay,60,1+1,900000,12 Ocak 2024,YeşilyurtMerkez
RE/MAX SILVER'DAN FAHRI KAYAHAN NEVESER'DE SATILIK DAIRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-re-max-silver-dan-fahri-kayahan-neveser-de-satilik-daire-1133114124/detay,180,3+1,2550000,13 Ocak 2024,YeşilyurtMerkez
Gönül Emlak Ofisinden PASAKÖSKÜNDE satılık daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-gonul-emlak-ofisinden-pasakoskunde-satilik-daire-1142155128/detay,180,3+1,1950000,13 Ocak 2024,BattalgaziMerkez
TECDE NİN EN LÜX SİTESİ,https://www.sahibinden.com/ilan/emlak-konut-satilik-tecde-nin-en-lux-sitesi-1095024232/detay,245,4+1,4500000,12 Ocak 2024,YeşilyurtMerkez
EMRE ALPAY'DAN ÇÖŞNÜKTE MUHTEŞEM KONUMDA 2+1 ARAKAT DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-emre-alpay-dan-cosnukte-muhtesem-konumda-2-plus1-arakat-daire-1144709458/detay,125,2+1,1630000,12 Ocak 2024,BattalgaziMerkez
ERKAN EMLAKTAN PRESTİJ MERKEZDE SATILIK ARAKAT 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-erkan-emlaktan-prestij-merkezde-satilik-arakat-3-plus1-daire-1106391948/detay,190,3+1,2500000,12 Ocak 2024,Yeşilyurt
MAHMUT BALTACIDAN CADDE ÜZERİNDE SIFIR ARA KAT DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-mahmut-baltacidan-cadde-uzerinde-sifir-ara-kat-daire-1141988517/detay,90,2+1,1800000,13 Ocak 2024,YeşilyurtMerkez
REFERANS'TAN ÇEVREYOLU YILDIZ BÜFE CİVARI 1+1 BÜRO & OFİS,https://www.sahibinden.com/ilan/emlak-konut-satilik-referans-tan-cevreyolu-yildiz-bufe-civari-1-plus1-buro-ofis-1117828327/detay,75,1+1,1800000,12 Ocak 2024,YeşilyurtMerkez
EMNİYET MÜDÜRLÜĞÜ KARŞISINDA 2+1 ANA CADDE ÜZERİNDE SATILIK,https://www.sahibinden.com/ilan/emlak-konut-satilik-emniyet-mudurlugu-karsisinda-2-plus1-ana-cadde-uzerinde-satilik-1055390383/detay,135,2+1,1000000,12 Ocak 2024,YeşilyurtMerkez
